Categoria;HTO;Precursor_PT;Precursor_EN;WeakSignal;Report;Text
Tecnico;falha de alarme/alarm failure;falha de alarme;alarm failure;operational limits repeatedly challenged (0.52);anp-final-report-fpso-cdsm-accident.pdf;"Root Cause n° 18: Lack of the high pressure alarm in the stripping pump offload / 
[10.3] Failure to consider certain aspects which may introduce hazards to the project 
The APIRP14C compliance rule193 establishes protective actions to be triggered manually 
by the operator in case of unsafe condition of observation or alert alarm as one of the modes 
of operation of offshore production platforms security system."
Tecnico;quebra de equipamento/alarm failure;falha de alarme;alarm failure;recurrent alarm acknowledged without investigation (0.51);anp-final-report-fpso-cdsm-accident.pdf;"Root Cause n° 18: Lack of the high pressure alarm in the stripping pump offload / 
[10.3] Failure to consider certain aspects which may introduce hazards to the project 
The APIRP14C compliance rule193 establishes protective actions to be triggered manually 
by the operator in case of unsafe condition of observation or alert alarm as one of the modes 
of operation of offshore production platforms security system."
Tecnico;quebra de equipamento/equipment breakdown;quebra de equipamento;equipment breakdown;pending maintenance for critical item (0.54);anp-final-report-fpso-cdsm-accident.pdf;"At the date of issuance of such report, the unit is still being degraded due to the accident 
and operations are underway for the unit is able to be placed in safe and can be transferred to 
a shipyard for repairs."
Tecnico;pane elétrica/equipment breakdown;quebra de equipamento;equipment breakdown;temporary repair becoming permanent (0.52);anp-final-report-fpso-cdsm-accident.pdf;"At the date of issuance of such report, the unit is still being degraded due to the accident 
and operations are underway for the unit is able to be placed in safe and can be transferred to 
a shipyard for repairs."
Tecnico;perda de contenção/electrical fault;pane elétrica;electrical fault;poor lighting near equipment (0.59);anp-final-report-fpso-cdsm-accident.pdf;"engines, electric lamps, cathodic protection systems with impressed current and malfunction 
of electrical equipment and wiring."
Tecnico;perda de contenção/loss of containment;perda de contenção;loss of containment;pressure drop in critical line (0.51);anp-final-report-fpso-cdsm-accident.pdf;"Causal Factor nº 5: Loss of primary condensed material 
    In systems where there are devices that perform work on fluid, such as pumps and 
compressors, there is the possibility of pressure downstream and therefore critical procedures 
and systems are established so that, with this, safety barriers prevent loss of containment ."
Tecnico;deterioração mecânica/loss of containment;perda de contenção;loss of containment;small leak normalized (0.51);anp-final-report-fpso-cdsm-accident.pdf;"Causal Factor nº 5: Loss of primary condensed material 
    In systems where there are devices that perform work on fluid, such as pumps and 
compressors, there is the possibility of pressure downstream and therefore critical procedures 
and systems are established so that, with this, safety barriers prevent loss of containment ."
Tecnico;deterioração mecânica/mechanical degradation;deterioração mecânica;mechanical degradation;pressure drop in critical line (0.51);anp-final-report-fpso-cdsm-accident.pdf;"Causal Factor nº 5: Loss of primary condensed material 
    In systems where there are devices that perform work on fluid, such as pumps and 
compressors, there is the possibility of pressure downstream and therefore critical procedures 
and systems are established so that, with this, safety barriers prevent loss of containment ."
Tecnico;pressurização indevida/mechanical degradation;deterioração mecânica;mechanical degradation;small leak normalized (0.51);anp-final-report-fpso-cdsm-accident.pdf;"Causal Factor nº 5: Loss of primary condensed material 
    In systems where there are devices that perform work on fluid, such as pumps and 
compressors, there is the possibility of pressure downstream and therefore critical procedures 
and systems are established so that, with this, safety barriers prevent loss of containment ."
Tecnico;pressurização indevida/unintended pressurization;pressurização indevida;unintended pressurization;pressure drop in critical line (0.51);anp-final-report-fpso-cdsm-accident.pdf;"Causal Factor nº 5: Loss of primary condensed material 
    In systems where there are devices that perform work on fluid, such as pumps and 
compressors, there is the possibility of pressure downstream and therefore critical procedures 
and systems are established so that, with this, safety barriers prevent loss of containment ."
Tecnico;falha hidráulica/unintended pressurization;pressurização indevida;unintended pressurization;small leak normalized (0.51);anp-final-report-fpso-cdsm-accident.pdf;"Causal Factor nº 5: Loss of primary condensed material 
    In systems where there are devices that perform work on fluid, such as pumps and 
compressors, there is the possibility of pressure downstream and therefore critical procedures 
and systems are established so that, with this, safety barriers prevent loss of containment ."
Tecnico;falha hidráulica/hydraulic failure;falha hidráulica;hydraulic failure;small leak normalized (0.51);anp-final-report-fpso-cdsm-accident.pdf;"The low pressure actuation rejoining equipment 
subsequently to the occurrence of rupture and consequent loss of containment minimizing the 
amount of spilled hydrocarbon."
Tecnico;vazamento de gás/hydraulic failure;falha hidráulica;hydraulic failure;pressure drop in critical line (0.51);anp-final-report-fpso-cdsm-accident.pdf;"The low pressure actuation rejoining equipment 
subsequently to the occurrence of rupture and consequent loss of containment minimizing the 
amount of spilled hydrocarbon."
Tecnico;vazamento de gás/gas leak;vazamento de gás;gas leak;small leak normalized (0.51);anp-final-report-fpso-cdsm-accident.pdf;"The low pressure actuation rejoining equipment 
subsequently to the occurrence of rupture and consequent loss of containment minimizing the 
amount of spilled hydrocarbon."
Tecnico;falha técnica/gas leak;vazamento de gás;gas leak;pressure drop in critical line (0.51);anp-final-report-fpso-cdsm-accident.pdf;"The low pressure actuation rejoining equipment 
subsequently to the occurrence of rupture and consequent loss of containment minimizing the 
amount of spilled hydrocarbon."
Tecnico;falha de alarme/tecnical fault;falha técnica;tecnical fault;scaffolding improvised or reused (0.51);anp-final-report-fpso-cdsm-accident.pdf;"CR 21: Improvisation 
spades  / [13.3.5] Lack 
of change management 
changes 
in 
project 
requirements 
13.3.5 
R09 
R35: not manufacture the parts board, including spades , requiring quality 
certificates of the material."
Tecnico;falha de alarme/alarm failure;falha de alarme;alarm failure;recurrent alarm acknowledged without investigation (0.51);anp-final-report-fpso-cdsm-accident.pdf;"""(NORSOK 
standard Z-012, Edition 3, October 2010 Risk and emergency preparedness 
assessment)”."
Tecnico;defeito crítico no sistema/alarm failure;falha de alarme;alarm failure;recurrent alarm acknowledged without investigation (0.51);anp-final-report-fpso-cdsm-accident.pdf;203 Emergency Response Philosophy – Doc n° 4119-BWO-S-FD-00006 Rev.
Tecnico;defeito crítico no sistema/critical system defect;defeito crítico no sistema;critical system defect;unexpected system behavior observed (0.57);anp-final-report-fpso-cdsm-accident.pdf;"In turn, the root cause is the absence, 
negligence or deficiency of management systems that enabled the occurrence of equipment failure / 
systems; and / or determining human errors investigated for the occurrence of the incident."
Tecnico;falha técnica/critical system defect;defeito crítico no sistema;critical system defect;recurrent minor faults (0.57);anp-final-report-fpso-cdsm-accident.pdf;"In turn, the root cause is the absence, 
negligence or deficiency of management systems that enabled the occurrence of equipment failure / 
systems; and / or determining human errors investigated for the occurrence of the incident."
Tecnico;falha técnica/tecnical fault;falha técnica;tecnical fault;unexpected system behavior observed (0.57);anp-final-report-fpso-cdsm-accident.pdf;"In turn, the root cause is the absence, 
negligence or deficiency of management systems that enabled the occurrence of equipment failure / 
systems; and / or determining human errors investigated for the occurrence of the incident."
Tecnico;defeito crítico no sistema/tecnical fault;falha técnica;tecnical fault;recurrent minor faults (0.57);anp-final-report-fpso-cdsm-accident.pdf;"In turn, the root cause is the absence, 
negligence or deficiency of management systems that enabled the occurrence of equipment failure / 
systems; and / or determining human errors investigated for the occurrence of the incident."
Tecnico;falha de isolamento/critical system defect;defeito crítico no sistema;critical system defect;recurrent minor faults (0.53);anp-final-report-fpso-cdsm-accident.pdf;Such failure is considered one of the root
Tecnico;falha estrutural/insulation failure;falha de isolamento;insulation failure;recurrent minor faults (0.53);anp-final-report-fpso-cdsm-accident.pdf;Such failure is considered one of the root
Tecnico;falha hidráulica/structural failure;falha estrutural;structural failure;recurrent minor faults (0.53);anp-final-report-fpso-cdsm-accident.pdf;Such failure is considered one of the root
Tecnico;defeito crítico no sistema/hydraulic failure;falha hidráulica;hydraulic failure;recurring manual reset of safety valve (0.57);anp-final-report-fpso-cdsm-accident.pdf;"The port of slop still has 
valves crossing problems, even after repair of their valves."
Tecnico;ruptura de tubulação/critical system defect;defeito crítico no sistema;critical system defect;recurring manual reset of safety valve (0.56);anp-final-report-fpso-cdsm-accident.pdf; In 16/12/2014 the valve indicator OP-054 presented problems.
Tecnico;vazamento de gás/pipe rupture;ruptura de tubulação;pipe rupture;recurring manual reset of safety valve (0.56);anp-final-report-fpso-cdsm-accident.pdf;"Figure 105 - PB-valve 084 before and after the accident 
MOC-CSM-091 is the temporary installation of pumps, valves, pipe segments, spades , hoses and 
the use of inert gas drying line, to allow the condensate transfer between tanks."
Tecnico;falha hidráulica/gas leak;vazamento de gás;gas leak;recurring manual reset of safety valve (0.56);anp-final-report-fpso-cdsm-accident.pdf;"Figure 105 - PB-valve 084 before and after the accident 
MOC-CSM-091 is the temporary installation of pumps, valves, pipe segments, spades , hoses and 
the use of inert gas drying line, to allow the condensate transfer between tanks."
Tecnico;falha de vedação/hydraulic failure;falha hidráulica;hydraulic failure;recurring manual reset of safety valve (0.56);anp-final-report-fpso-cdsm-accident.pdf;"Figure 105 - PB-valve 084 before and after the accident 
MOC-CSM-091 is the temporary installation of pumps, valves, pipe segments, spades , hoses and 
the use of inert gas drying line, to allow the condensate transfer between tanks."
Tecnico;falha técnica/seal failure;falha de vedação;seal failure;recurring manual reset of safety valve (0.55);anp-final-report-fpso-cdsm-accident.pdf;"This is obtained for the report ""Evaluation of failure in the sealing ring of the tank 
valve"" issued in 21/10/201481."
Tecnico;defeito crítico no sistema/tecnical fault;falha técnica;tecnical fault;recurring manual reset of safety valve (0.55);anp-final-report-fpso-cdsm-accident.pdf;"This is obtained for the report ""Evaluation of failure in the sealing ring of the tank 
valve"" issued in 21/10/201481."
Tecnico;equipamento mal calibrado/critical system defect;defeito crítico no sistema;critical system defect;recurring manual reset of safety valve (0.55);anp-final-report-fpso-cdsm-accident.pdf;"This is obtained for the report ""Evaluation of failure in the sealing ring of the tank 
valve"" issued in 21/10/201481."
Tecnico;quebra de equipamento/miscalibrated equipment;equipamento mal calibrado;miscalibrated equipment;recurring manual reset of safety valve (0.55);anp-final-report-fpso-cdsm-accident.pdf;"182 Inspection relief valve on estaleiro.pdf 
183  PSV - Report from calibration in 2010.pdf 
184 Item 6.4.1.2 of API RP 576 - Inspection of Pressure-relieving Devices 
185 Interview maintenance engineer."
Tecnico;falha hidráulica/equipment breakdown;quebra de equipamento;equipment breakdown;recurring manual reset of safety valve (0.55);anp-final-report-fpso-cdsm-accident.pdf;"Repair execution of the storage system valves in the load tanks inlet ...................... 228 
7."
Tecnico;equipamento mal calibrado/hydraulic failure;falha hidráulica;hydraulic failure;recurring manual reset of safety valve (0.52);anp-final-report-fpso-cdsm-accident.pdf;"Remains the paddle upstream of 
OP-068 valve."
Tecnico;quebra de equipamento/miscalibrated equipment;equipamento mal calibrado;miscalibrated equipment;recurring manual reset of safety valve (0.52);anp-final-report-fpso-cdsm-accident.pdf;"FC05: 
Loss 
containment 
flange 
at 
the 
offload 
of 
the 
stripping pump 
CR16: Lack of plan for 
inspections, calibration 
and testing to ensure 
minimum reliability for 
the 
safety 
valve 
of 
stripping 
pump 
/ 
[13.2.1] inspection plan 
Lack, calibration and 
testing 
13.2.1 
R29: Include equipment information and Critical Systems arising from safety 
studies in computerized integrity management systems before the operation."
Tecnico;perda de contenção/equipment breakdown;quebra de equipamento;equipment breakdown;recurring manual reset of safety valve (0.52);anp-final-report-fpso-cdsm-accident.pdf;"FC05: 
Loss 
containment 
flange 
at 
the 
offload 
of 
the 
stripping pump 
CR16: Lack of plan for 
inspections, calibration 
and testing to ensure 
minimum reliability for 
the 
safety 
valve 
of 
stripping 
pump 
/ 
[13.2.1] inspection plan 
Lack, calibration and 
testing 
13.2.1 
R29: Include equipment information and Critical Systems arising from safety 
studies in computerized integrity management systems before the operation."
Tecnico;falha de vedação/loss of containment;perda de contenção;loss of containment;recurring manual reset of safety valve (0.52);anp-final-report-fpso-cdsm-accident.pdf;"FC05: 
Loss 
containment 
flange 
at 
the 
offload 
of 
the 
stripping pump 
CR16: Lack of plan for 
inspections, calibration 
and testing to ensure 
minimum reliability for 
the 
safety 
valve 
of 
stripping 
pump 
/ 
[13.2.1] inspection plan 
Lack, calibration and 
testing 
13.2.1 
R29: Include equipment information and Critical Systems arising from safety 
studies in computerized integrity management systems before the operation."
Tecnico;ruptura de tubulação/seal failure;falha de vedação;seal failure;recurring manual reset of safety valve (0.51);anp-final-report-fpso-cdsm-accident.pdf;"These valves have 
their sealing seals (seat rings) exchanged in order to solve this problem of sealing."
Tecnico;falha hidráulica/pipe rupture;ruptura de tubulação;pipe rupture;recurring manual reset of safety valve (0.51);anp-final-report-fpso-cdsm-accident.pdf;"The system downstream of the outlet cylinder of the stripping pump had as single barrier 
overpressure against safety valve (PSV), physical barrier recirculating the pumped fluid to the 
pump suction, however this valve lacked a calibration routine, which made their uncertain 
reliability."
Tecnico;quebra de equipamento/hydraulic failure;falha hidráulica;hydraulic failure;recurring manual reset of safety valve (0.51);anp-final-report-fpso-cdsm-accident.pdf;"After repair of valves OT-041 and OP-023 inside the port slop tank, the tank still presented 
problems, as recorded in the service passage between marine superintendents in 20/08/2014152."
Tecnico;falha hidráulica/equipment breakdown;quebra de equipamento;equipment breakdown;shutdown aborted without justification (0.62);anp-final-report-fpso-cdsm-accident.pdf;"This shutdown was initiated due to the difficulty to empty the 
tank with the stripping pump."
Tecnico;vazamento de gás/hydraulic failure;falha hidráulica;hydraulic failure;shutdown aborted without justification (0.62);anp-final-report-fpso-cdsm-accident.pdf;"This shutdown was initiated due to the difficulty to empty the 
tank with the stripping pump."
Tecnico;vazamento de gás/gas leak;vazamento de gás;gas leak;small leak normalized (0.58);anp-final-report-fpso-cdsm-accident.pdf;"The leakage from 25/09/2014 was classified as 
severe."
Tecnico;vazamento de gás/gas leak;vazamento de gás;gas leak;small leak normalized (0.57);anp-final-report-fpso-cdsm-accident.pdf;"The CFTV were observed as per 
the effects of the explosion, it is possible to identify the leaking fluid in bulk, on the ground 
floor of the local leakage, beyond the time when the siren had been activated."
Tecnico;vazamento de gás/gas leak;vazamento de gás;gas leak;small leak normalized (0.57);anp-final-report-fpso-cdsm-accident.pdf;"The condensate material leakage was supposedly caused by such type of 
operation."
Tecnico;vazamento de gás/gas leak;vazamento de gás;gas leak;small leak normalized (0.54);anp-final-report-fpso-cdsm-accident.pdf;"In order to determine the properties of the fluid that leaked it was conducted by an 
analysis operator217 of the condensed material stored in tanks 2C, 3C and 5C, after the 
accident."
Tecnico;ruptura de tubulação/gas leak;vazamento de gás;gas leak;small leak normalized (0.53);anp-final-report-fpso-cdsm-accident.pdf;" After returning the first team of the pump house, the leader of the brigade reported to 
offshore incident commander that there was leakage of liquid in the form of dripping, 
forming a pool of about two square meters below the flange."
Tecnico;falha hidráulica/pipe rupture;ruptura de tubulação;pipe rupture;small leak normalized (0.53);anp-final-report-fpso-cdsm-accident.pdf;" After returning the first team of the pump house, the leader of the brigade reported to 
offshore incident commander that there was leakage of liquid in the form of dripping, 
forming a pool of about two square meters below the flange."
Tecnico;vazamento de gás/hydraulic failure;falha hidráulica;hydraulic failure;small leak normalized (0.53);anp-final-report-fpso-cdsm-accident.pdf;" After returning the first team of the pump house, the leader of the brigade reported to 
offshore incident commander that there was leakage of liquid in the form of dripping, 
forming a pool of about two square meters below the flange."
Tecnico;ruptura de tubulação/gas leak;vazamento de gás;gas leak;small leak normalized (0.53);anp-final-report-fpso-cdsm-accident.pdf;This fact caused doubt if the leak had occurred in its own OP-068 valve.
Tecnico;vazamento de gás/pipe rupture;ruptura de tubulação;pipe rupture;small leak normalized (0.53);anp-final-report-fpso-cdsm-accident.pdf;This fact caused doubt if the leak had occurred in its own OP-068 valve.
Tecnico;ruptura de tubulação/gas leak;vazamento de gás;gas leak;small leak normalized (0.52);anp-final-report-fpso-cdsm-accident.pdf;"At 11:30 am the day 02/11/2015, during the emptying operation 6C cargo tank, there was 
condensate leak inside the FPSO CDSM pumps room."
Tecnico;vazamento de gás/pipe rupture;ruptura de tubulação;pipe rupture;small leak normalized (0.52);anp-final-report-fpso-cdsm-accident.pdf;"The stripping pump, which constitutes the only possible source existing 
compression in the environment, was stopped at the time of explosion."
Tecnico;vazamento de gás/gas leak;vazamento de gás;gas leak;small leak normalized (0.52);anp-final-report-fpso-cdsm-accident.pdf;"The stripping pump, which constitutes the only possible source existing 
compression in the environment, was stopped at the time of explosion."
Tecnico;vazamento de gás/gas leak;vazamento de gás;gas leak;small leak normalized (0.52);anp-final-report-fpso-cdsm-accident.pdf;"From the information coming from the first team that went down to the pumps, the CIO 
and others in the CCR team tried to identify the leak point with the aid of process flow"
Tecnico;ruptura de tubulação/gas leak;vazamento de gás;gas leak;small leak normalized (0.52);anp-final-report-fpso-cdsm-accident.pdf;Figure 2 shows the position of the OP-068 valve and the location of the leak.
Tecnico;falha hidráulica/pipe rupture;ruptura de tubulação;pipe rupture;small leak normalized (0.52);anp-final-report-fpso-cdsm-accident.pdf;Figure 2 shows the position of the OP-068 valve and the location of the leak.
Tecnico;falha hidráulica/hydraulic failure;falha hidráulica;hydraulic failure;small leak normalized (0.51);anp-final-report-fpso-cdsm-accident.pdf;"Root Cause n° 16: Lack of inspections, calibration and tests plans to 
ensure minimum reliability for the safety valve from the stripping pump / 
[13.2.1] Lack of inspections, calibration and tests plans 
The opening pressure (set pressure) of the safety valve design stripping pump was 16.5 
kgf/cm 2g, indicated in the data sheet stripping the pump, as shown in Figure 121 below."
Tecnico;falha técnica/hydraulic failure;falha hidráulica;hydraulic failure;small leak normalized (0.51);anp-final-report-fpso-cdsm-accident.pdf;"10/12/2011 
BW identifies problems in the storage system valves, which had internal fluid 
passage even when closed."
Tecnico;vazamento de gás/tecnical fault;falha técnica;tecnical fault;small leak normalized (0.51);anp-final-report-fpso-cdsm-accident.pdf;"As the leak point was concreted to prevent further leaks, it could not perform analyzes of 
the spade properties and their respective failure mode."
Tecnico;perda de contenção/gas leak;vazamento de gás;gas leak;small leak normalized (0.51);anp-final-report-fpso-cdsm-accident.pdf;"The event was considered condensate leak followed by explosion in FPSO CDSM the pump house 
that caused the death of nine people twenty-six wounded, seven serious damage to the installation, 
partial flooding and interrupting the production of two production fields indefinitely without damage 
to the environment."
Tecnico;não seguiu o procedimento/loss of containment;perda de contenção;loss of containment;supervisory fatigue unaddressed (0.51);anp-final-report-fpso-cdsm-accident.pdf;"Thus, the accumulation of functions, the loss of 
knowledge about the current system status, lack of updated procedures and training existing 
mechanisms, the overload caused by systemic problems and failure in training contributed to the 
occurrence of contention loss."
Humano;não seguiu o procedimento/did not follow procedure;não seguiu o procedimento;did not follow procedure;safety checks performed superficially (0.56);Executive_Summary_P-20_final.pdf;"Also, the inspection records did not specify the problems identified and the resulting 
corrective actions."
Humano;pressão por produtividade/did not follow procedure;não seguiu o procedimento;did not follow procedure;visual inspection skipped (0.50);Executive_Summary_P-20_final.pdf;"Also, the inspection records did not specify the problems identified and the resulting 
corrective actions."
Organizacional;pressão por produtividade/production pressure;pressão por produtividade;production pressure;abnormal fluid temperature (0.52);Executive_Summary_P-20_final.pdf;"Thus, the system was only able to relieve pressure caused by tank 
inbreathing/outbreathing or ambient temperature variation."
Organizacional;revisão técnica ausente/production pressure;pressão por produtividade;production pressure;pressure drop in critical line (0.51);Executive_Summary_P-20_final.pdf;"Thus, the system was only able to relieve pressure caused by tank 
inbreathing/outbreathing or ambient temperature variation."
Organizacional;revisão técnica ausente/technical review missing;revisão técnica ausente;technical review missing;safety checks performed superficially (0.56);Executive_Summary_P-20_final.pdf;"Also, the inspection records did not specify the problems identified and the resulting 
corrective actions."
Organizacional;manutenção preventiva/technical review missing;revisão técnica ausente;technical review missing;visual inspection skipped (0.50);Executive_Summary_P-20_final.pdf;"Also, the inspection records did not specify the problems identified and the resulting 
corrective actions."
Organizacional;falha estrutural/preventive maintenance issue;manutenção preventiva;preventive maintenance issue;safety checks performed superficially (0.51);Executive_Summary_P-20_final.pdf;"These aspects are among the management practices that comprise the greater 
amounts of non-compliances in SSM inspection activities, reinforcing the importance of ANP 
continuous presence in the regulated facilities."
Tecnico;falha hidráulica/structural failure;falha estrutural;structural failure;scaffolding improvised or reused (0.51);Executive_Summary_P-20_final.pdf;"access ladders, made of composite material, which could cause restriction to abandon 
capability."
Tecnico;defeito crítico no sistema/hydraulic failure;falha hidráulica;hydraulic failure;recurrent minor faults (0.52);Executive_Summary_P-20_final.pdf;"As an example we can mention the contribution of 
failures related to the design and maintenance of the unit open drainage system to the 
circumstances of the accident."
Tecnico;quebra de equipamento/critical system defect;defeito crítico no sistema;critical system defect;recurrent minor faults (0.52);Executive_Summary_P-20_final.pdf;"As an example we can mention the contribution of 
failures related to the design and maintenance of the unit open drainage system to the 
circumstances of the accident."
Tecnico;falha técnica/equipment breakdown;quebra de equipamento;equipment breakdown;recurrent minor faults (0.52);Executive_Summary_P-20_final.pdf;"As an example we can mention the contribution of 
failures related to the design and maintenance of the unit open drainage system to the 
circumstances of the accident."
Tecnico;falha operacional/tecnical fault;falha técnica;tecnical fault;recurrent minor faults (0.52);Executive_Summary_P-20_final.pdf;"As an example we can mention the contribution of 
failures related to the design and maintenance of the unit open drainage system to the 
circumstances of the accident."
Humano;falha operacional/operational failure;falha operacional;operational failure;procedure not fully followed (0.52);fr_investigation_frade-area1.pdf;• Standard operating procedure CBBU_DC_001_001 SOP of July 27, 2010.
Humano;descumprimento de procedimento/operational failure;falha operacional;operational failure;conflicting operational instructions (0.51);fr_investigation_frade-area1.pdf;• Standard operating procedure CBBU_DC_001_001 SOP of July 27, 2010.
Humano;descumprimento de procedimento/non compliance with procedure;descumprimento de procedimento;non compliance with procedure;procedure not fully followed (0.52);fr_investigation_frade-area1.pdf;"Procedures were begun to abandon well 9-FR-46D-RJS, with 
placement of cement covers Nos."
Humano;procedimento desatualizado/non compliance with procedure;descumprimento de procedimento;non compliance with procedure;procedure not fully followed (0.50);fr_investigation_frade-area1.pdf;"Appraisal of the quality and technical procedures of definitive abandonment of well 9-
FR-50DP-RJS, which was only concluded on February 12, 2012, is the object of an 
independent Administrative Proceeding, which is not part of the scope of the 
investigation of the accident."
Organizacional;procedimento desatualizado/outdated procedure;procedimento desatualizado;outdated procedure;procedure not fully followed (0.52);fr_investigation_frade-area1.pdf;• Standard operating procedure CBBU_DC_001_001 SOP of July 27, 2010.
Organizacional;falha na análise de risco/outdated procedure;procedimento desatualizado;outdated procedure;conflicting operational instructions (0.51);fr_investigation_frade-area1.pdf;• Standard operating procedure CBBU_DC_001_001 SOP of July 27, 2010.
Organizacional;pressão por produtividade/failure in risk assessment;falha na análise de risco;failure in risk assessment;incomplete job safety analysis (0.51);fr_investigation_frade-area1.pdf;"By not 
appropriately evaluating the risks of the project, Chevron failed to consider 
the specific aspects of drilling well 9-FR-50DP-RJS, evidencing deficiencies 
in its culture of safety, failures in conducting the operations and 
accentuated weakness in managing risks on the part of the company in this 
project."
Organizacional;pressão por produtividade/production pressure;pressão por produtividade;production pressure;pressure drop in critical line (0.59);fr_investigation_frade-area1.pdf;"pressure of 3,700 psi (9.4 ppg) in its models, when the pressures were actually between 
4,003 psi (10.16 ppg) and 4,176 psi (10.6 ppg)."
Organizacional;pressão por produtividade/production pressure;pressão por produtividade;production pressure;pressure drop in critical line (0.58);fr_investigation_frade-area1.pdf;"Upon the event of a kick, the shut-in pressures of the column (SIDPP), or of the annulus 
(SICP) plus the volume of the influx, are sufficient to calculate the pressure of the 
reservoir."
Organizacional;pressão por produtividade/production pressure;pressão por produtividade;production pressure;pressure drop in critical line (0.51);fr_investigation_frade-area1.pdf;"ESTIMATE OF RESERVOIR PRESSURE ......................................................................................... 24 
3.1.2."
Organizacional;procedimento desatualizado/production pressure;pressão por produtividade;production pressure;pressure drop in critical line (0.51);fr_investigation_frade-area1.pdf;"Taking the maximum pressure in the SIDPP as a reference for the minimum pressure of 
the reservoir: 
Reservoir pressure = Hydrostatic pressure + SIDPP 
                               = MW x 0.171 x TVD + SIDPP"
Organizacional;procedimento ausente/outdated procedure;procedimento desatualizado;outdated procedure;procedure not fully followed (0.52);fr_investigation_frade-area1.pdf;"Procedures were begun to abandon well 9-FR-46D-RJS, with 
placement of cement covers Nos."
Organizacional;revisão técnica ausente/missing procedure;procedimento ausente;missing procedure;procedure not fully followed (0.52);fr_investigation_frade-area1.pdf;"Procedures were begun to abandon well 9-FR-46D-RJS, with 
placement of cement covers Nos."
Organizacional;procedimento desatualizado/technical review missing;revisão técnica ausente;technical review missing;procedure not fully followed (0.50);fr_investigation_frade-area1.pdf;"Appraisal of the quality and technical procedures of definitive abandonment of well 9-
FR-50DP-RJS, which was only concluded on February 12, 2012, is the object of an 
independent Administrative Proceeding, which is not part of the scope of the 
investigation of the accident."
Organizacional;manutenção preventiva/outdated procedure;procedimento desatualizado;outdated procedure;procedure not fully followed (0.50);fr_investigation_frade-area1.pdf;"Appraisal of the quality and technical procedures of definitive abandonment of well 9-
FR-50DP-RJS, which was only concluded on February 12, 2012, is the object of an 
independent Administrative Proceeding, which is not part of the scope of the 
investigation of the accident."
Organizacional;falha na análise de risco/preventive maintenance issue;manutenção preventiva;preventive maintenance issue;safety checks performed superficially (0.53);fr_investigation_frade-area1.pdf;"The accident could have been 
avoided had the company adopted safer measures by following its own procedures 
manual and ANP regulations."
Organizacional;falha na análise de risco/failure in risk assessment;falha na análise de risco;failure in risk assessment;safety culture complacency (0.63);fr_investigation_frade-area1.pdf;"The low degree of perception of risks in planning and appraising the operations 
demonstrates the insufficiency of a safety culture that would emphasize carrying out 
activities in a safer manner and contributed significantly to a sequence of events that 
culminated in the spillage of oil into the sea."
Organizacional;procedimento desatualizado/failure in risk assessment;falha na análise de risco;failure in risk assessment;small leak normalized (0.50);fr_investigation_frade-area1.pdf;"Had the company adopted due precautions and correctly classified the well in question, 
uncertainty regarding the pressure of the pores to be used in the kick tolerance criterion 
would have been between 0.5 ppg and 1.0 ppg, which once again would give rise to the 
mandatory requirement to alter the project, increasing the depth of setting the dead 
block, increasing the number of phases or adopting complementary measures to reduce 
the risks to more tolerable levels."
Organizacional;vazamento de gás/outdated procedure;procedimento desatualizado;outdated procedure;tool left unattended (0.54);fr_investigation_frade-area1.pdf;"This docum
encountered an obstruction
attempt, the tool descended
the tool was in the wrong s
the correct sidetrack, in 9
already making operation"
Tecnico;vazamento de gás/gas leak;vazamento de gás;gas leak;abnormal fluid temperature (0.50);fr_investigation_frade-area1.pdf;"110 barrels of mud were pumped 
at a discharge rate of 30 spm (3 bbl/min), with initial circulation pressure of 360 psi, 
resulting in a return of 5 bbl."
Tecnico;falha técnica/gas leak;vazamento de gás;gas leak;gas detector offline during activity (0.53);fr_investigation_frade-area1.pdf;"Nacional do Petróleo, Gás Natural e Biocom
dência de Segurança Operacional e Meio Amb
al effect for compliance or enforcement purposes."
Tecnico;falha técnica/tecnical fault;falha técnica;tecnical fault;incomplete job safety analysis (0.55);fr_investigation_frade-area1.pdf;"An accident is the result of a combination of operational defects, inappropriate 
managerial decisions and degraded safety barriers, which are termed causal factors upon 
establishment of an investigative process to determine the sequence of events that 
culminated in the occurrence of damage."
Tecnico;falha técnica/tecnical fault;falha técnica;tecnical fault;recurrent minor faults (0.51);fr_investigation_frade-area1.pdf;"An accident is the result of a combination of operational defects, inappropriate 
managerial decisions and degraded safety barriers, which are termed causal factors upon 
establishment of an investigative process to determine the sequence of events that 
culminated in the occurrence of damage."
Tecnico;equipamento mal calibrado/tecnical fault;falha técnica;tecnical fault;incomplete job safety analysis (0.51);fr_investigation_frade-area1.pdf;"By not 
appropriately evaluating the risks of the project, Chevron failed to consider 
the specific aspects of drilling well 9-FR-50DP-RJS, evidencing deficiencies 
in its culture of safety, failures in conducting the operations and 
accentuated weakness in managing risks on the part of the company in this 
project."
Tecnico;falha estrutural/miscalibrated equipment;equipamento mal calibrado;miscalibrated equipment;incomplete job safety analysis (0.51);fr_investigation_frade-area1.pdf;"By not 
appropriately evaluating the risks of the project, Chevron failed to consider 
the specific aspects of drilling well 9-FR-50DP-RJS, evidencing deficiencies 
in its culture of safety, failures in conducting the operations and 
accentuated weakness in managing risks on the part of the company in this 
project."
